20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|237108 YP_009873893.1 |beta-glucosyl-HMC-alpha-glucosyltransferase [Tenacibaculum phage PTm1]	 score  :276.0	 e_val  :3.86851e-23	 q_start  :17734	 q_end  :18618	 s_start  :105	 s_end  :399	 align_len  :311
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|71353 YP_010681490.1 |hypothetical protein PQE75_gp237 [Bacillus phage vB_BcoS-136]	 score  :184.0	 e_val  :7.85189e-12	 q_start  :7748	 q_end  :8461	 s_start  :184	 s_end  :409	 align_len  :243
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|336177 YP_009666189.1 |DNA repair exonuclease [Enterobacter phage F20]	 score  :183.0	 e_val  :8.13006e-12	 q_start  :7715	 q_end  :8533	 s_start  :101	 s_end  :372	 align_len  :289
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|301986 YP_009796000.1 |DNA repair exonuclease [Salmonella phage YSP2]	 score  :183.0	 e_val  :8.91529e-12	 q_start  :7721	 q_end  :8608	 s_start  :67	 s_end  :363	 align_len  :308
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|318472 YP_009812486.1 |DNA repair exonuclease [Citrobacter phage Sazh]	 score  :182.0	 e_val  :1.23156e-11	 q_start  :7721	 q_end  :8608	 s_start  :67	 s_end  :363	 align_len  :310
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|297972 YP_009791986.1 |DNA repair exonuclease [Shigella phage Sf12]	 score  :181.0	 e_val  :1.41692e-11	 q_start  :7718	 q_end  :8614	 s_start  :80	 s_end  :369	 align_len  :311
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|68287 YP_010684536.1 |putative exonuclease [Klebsiella phage SBP]	 score  :181.0	 e_val  :1.62316e-11	 q_start  :7724	 q_end  :8587	 s_start  :78	 s_end  :365	 align_len  :294
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|296209 YP_009790223.1 |DNA repair exonuclease [Citrobacter phage CF1 DK-2017]	 score  :181.0	 e_val  :1.68578e-11	 q_start  :7721	 q_end  :8608	 s_start  :67	 s_end  :363	 align_len  :310
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|530431 YP_009018626.1 |gp12 [Escherichia phage phiEB49]	 score  :181.0	 e_val  :1.6962e-11	 q_start  :7715	 q_end  :8506	 s_start  :107	 s_end  :371	 align_len  :275
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|463451 YP_009216139.1 |resolvase [Bacillus phage Shanette]	 score  :170.0	 e_val  :1.71759e-11	 q_start  :1631	 q_end  :1969	 s_start  :5	 s_end  :132	 align_len  :130
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|67865 YP_010683881.1 |DNA repair exonuclease [Klebsiella phage VLCpiM12a]	 score  :180.0	 e_val  :1.94163e-11	 q_start  :7724	 q_end  :8497	 s_start  :109	 s_end  :365	 align_len  :263
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|332033 YP_009702210.1 |DNA repair exonuclease [Pectinobacterium phage PEAT2]	 score  :180.0	 e_val  :1.97672e-11	 q_start  :7724	 q_end  :8587	 s_start  :78	 s_end  :365	 align_len  :294
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|323805 YP_009817819.1 |DNA repair exonuclease [Klebsiella phage TSK1]	 score  :180.0	 e_val  :2.0822e-11	 q_start  :7715	 q_end  :8533	 s_start  :101	 s_end  :372	 align_len  :286
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|369578 YP_009618048.1 |DNA repair exonuclease [Salmonella phage FSL SP-126]	 score  :180.0	 e_val  :2.16681e-11	 q_start  :7721	 q_end  :8557	 s_start  :81	 s_end  :363	 align_len  :292
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|305752 YP_009799766.1 |DNA repair exonuclease [Salmonella phage vB_SenS_PHB07]	 score  :179.0	 e_val  :2.43456e-11	 q_start  :7721	 q_end  :8557	 s_start  :81	 s_end  :363	 align_len  :293
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|413540 YP_009280771.1 |DNA repair exonuclease [Salmonella phage phSE-2]	 score  :179.0	 e_val  :2.96501e-11	 q_start  :7721	 q_end  :8608	 s_start  :67	 s_end  :363	 align_len  :310
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|367008 YP_009615478.1 |DNA repair exonuclease [Escherichia phage SRT8]	 score  :179.0	 e_val  :3.11087e-11	 q_start  :7721	 q_end  :8461	 s_start  :122	 s_end  :369	 align_len  :264
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|607637 YP_006383766.1 |putative phage terminase large subunit [Acinetobacter phage AP22]	 score  :180.0	 e_val  :3.19574e-11	 q_start  :29059	 q_end  :29466	 s_start  :266	 s_end  :409	 align_len  :145
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|484454 YP_009148743.1 |DNA repair exonuclease [Citrobacter phage Stevie]	 score  :178.0	 e_val  :3.24285e-11	 q_start  :7721	 q_end  :8608	 s_start  :67	 s_end  :363	 align_len  :310
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|356066 YP_009604536.1 |terminase large subunit [Acinetobacter phage WCHABP1]	 score  :180.0	 e_val  :3.31012e-11	 q_start  :29059	 q_end  :29466	 s_start  :266	 s_end  :409	 align_len  :145
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|352088 YP_009600558.1 |terminase large subunit [Acinetobacter phage WCHABP12]	 score  :180.0	 e_val  :3.31012e-11	 q_start  :29059	 q_end  :29466	 s_start  :266	 s_end  :409	 align_len  :145
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|308557 YP_009802571.1 |DNA repair exonuclease [Escherichia phage LL5]	 score  :178.0	 e_val  :3.74245e-11	 q_start  :7721	 q_end  :8557	 s_start  :81	 s_end  :363	 align_len  :293
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|62145 YP_010748580.1 |hypothetical protein QA065_gp10 [Salmonella phage STP03]	 score  :178.0	 e_val  :4.00006e-11	 q_start  :7718	 q_end  :8614	 s_start  :80	 s_end  :369	 align_len  :306
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|61633 YP_010748068.1 |hypothetical protein QA056_gp22 [Salmonella phage SHWT1]	 score  :178.0	 e_val  :4.10877e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|61858 YP_010748293.1 |winged helix-turn-helix domain-containing protein [Salmonella phage T102]	 score  :178.0	 e_val  :4.14566e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|61808 YP_010748243.1 |transcriptional regulator [Salmonella phage fmb-p1]	 score  :178.0	 e_val  :4.14566e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|61695 YP_010748130.1 |hypothetical protein QA057_gp31 [Salmonella phage SLMP1]	 score  :178.0	 e_val  :4.14566e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|61478 YP_010747913.1 |hypothetical protein QA053_gp45 [Salmonella phage LPSE1]	 score  :177.0	 e_val  :4.22043e-11	 q_start  :7718	 q_end  :8614	 s_start  :80	 s_end  :369	 align_len  :306
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|59285 YP_010745720.1 |oxidoreductase [Salmonella phage SS5]	 score  :177.0	 e_val  :4.45292e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|402750 YP_009322861.1 |DNA repair exonuclease [Salmonella phage BPS11Q3]	 score  :177.0	 e_val  :4.57391e-11	 q_start  :7718	 q_end  :8614	 s_start  :80	 s_end  :369	 align_len  :306
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|472723 YP_009191573.1 |DNA repair exonuclease [Salmonella phage f18SE]	 score  :177.0	 e_val  :4.61496e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|560807 YP_008058258.1 |DNA repair exonuclease [Salmonella phage L13]	 score  :177.0	 e_val  :4.95693e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|400053 YP_009280173.1 |DNA repair exonuclease [Salmonella phage MA12]	 score  :177.0	 e_val  :4.95693e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|60314 YP_010746749.1 |hypothetical protein QA035_gp37 [Salmonella phage vB_SenS_PVP-SE2]	 score  :177.0	 e_val  :4.95693e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|62309 YP_010748744.1 |putative phosphoesterase [Salmonella phage demigod]	 score  :177.0	 e_val  :5.00142e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|60434 YP_010746869.1 |oxidoreductase [Salmonella phage vB_SenS_S532]	 score  :177.0	 e_val  :5.09159e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|60366 YP_010746801.1 |oxidoreductase [Salmonella phage vB_SenS-EnJE1]	 score  :177.0	 e_val  :5.09159e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|659706 YP_001285556.1 |DNA repair exonuclease [Escherichia phage Tls]	 score  :176.0	 e_val  :5.54881e-11	 q_start  :7721	 q_end  :8557	 s_start  :81	 s_end  :363	 align_len  :293
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|550385 YP_008433519.1 |peptidase M15 [Pseudomonas phage PaBG]	 score  :164.0	 e_val  :7.13859e-11	 q_start  :9261	 q_end  :9710	 s_start  :12	 s_end  :143	 align_len  :151
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|189024 YP_010053012.1 |terminase large subunit [Aeromonas phage 4_D05]	 score  :176.0	 e_val  :7.99781e-11	 q_start  :29062	 q_end  :30123	 s_start  :31	 s_end  :402	 align_len  :384
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|374128 YP_009622598.1 |portal protein [Streptomyces phage BillNye]	 score  :178.0	 e_val  :8.24999e-11	 q_start  :15337	 q_end  :16437	 s_start  :94	 s_end  :480	 align_len  :409
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|499319 YP_009113170.1 |DNA repair exonuclease [Salmonella phage LSPA1]	 score  :175.0	 e_val  :8.54657e-11	 q_start  :7718	 q_end  :8443	 s_start  :129	 s_end  :369	 align_len  :249
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|86360 YP_010657398.1 |large terminase subunit [Salmonella phage vB_SalS-LPSTLL]	 score  :177.0	 e_val  :8.86109e-11	 q_start  :29026	 q_end  :29928	 s_start  :146	 s_end  :466	 align_len  :326
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|107521 YP_010644261.1 |putative DNA modification protein [Bacillus phage vB_BspS_SplendidRed]	 score  :167.0	 e_val  :9.27161e-11	 q_start  :2740	 q_end  :3228	 s_start  :7	 s_end  :171	 align_len  :168
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|562281 YP_008059732.1 |DNA repair exonuclease [Shigella phage pSf-1]	 score  :174.0	 e_val  :9.48943e-11	 q_start  :7715	 q_end  :8608	 s_start  :67	 s_end  :365	 align_len  :309
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|188949 YP_010052937.1 |terminase large subunit [Aeromonas phage 2_D05]	 score  :176.0	 e_val  :9.58893e-11	 q_start  :29062	 q_end  :30123	 s_start  :27	 s_end  :398	 align_len  :384
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|678952 YP_112491.1 |terminase large subunit [Flavobacterium phage 11b]	 score  :900.0	 e_val  :1.12034e-105	 q_start  :4494	 q_end  :5774	 s_start  :1	 s_end  :429	 align_len  :433
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|555124 YP_008241980.1 |terminase large subunit [Cellulophaga phage phi10:1]	 score  :777.0	 e_val  :2.26585e-89	 q_start  :4509	 q_end  :5774	 s_start  :1	 s_end  :421	 align_len  :425
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|617357 YP_004421457.1 |hypothetical protein S-CBS2_gp003 [Synechococcus phage S-CBS2]	 score  :684.0	 e_val  :1.5329e-77	 q_start  :14084	 q_end  :15010	 s_start  :84	 s_end  :377	 align_len  :311
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|279039 YP_009855211.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_snork6-1]	 score  :665.0	 e_val  :5.86064e-75	 q_start  :14084	 q_end  :14983	 s_start  :91	 s_end  :381	 align_len  :303
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|278897 YP_009855069.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_mymlan6-1]	 score  :664.0	 e_val  :8.04662e-75	 q_start  :14084	 q_end  :14983	 s_start  :91	 s_end  :381	 align_len  :303
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|278684 YP_009854856.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_lillamy9-1]	 score  :662.0	 e_val  :1.19303e-74	 q_start  :14084	 q_end  :14983	 s_start  :91	 s_end  :381	 align_len  :303
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|279184 YP_009855356.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_stinky9-1]	 score  :661.0	 e_val  :1.75192e-74	 q_start  :14084	 q_end  :14983	 s_start  :91	 s_end  :381	 align_len  :303
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|278757 YP_009854929.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_morran9-1]	 score  :661.0	 e_val  :1.75192e-74	 q_start  :14084	 q_end  :14983	 s_start  :91	 s_end  :381	 align_len  :303
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|278557 YP_009854729.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_hemulen6-1]	 score  :661.0	 e_val  :1.75192e-74	 q_start  :14084	 q_end  :14983	 s_start  :91	 s_end  :381	 align_len  :303
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|279112 YP_009855284.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_snusmum6-1]	 score  :658.0	 e_val  :4.6665e-74	 q_start  :14084	 q_end  :14983	 s_start  :91	 s_end  :381	 align_len  :303
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|456989 YP_009209673.1 |terminase large subunit [Polaribacter phage P12002L]	 score  :514.0	 e_val  :2.12206e-53	 q_start  :4503	 q_end  :5759	 s_start  :60	 s_end  :498	 align_len  :444
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|443127 YP_009195687.1 |terminase large subunit [Polaribacter phage P12002S]	 score  :514.0	 e_val  :2.12206e-53	 q_start  :4503	 q_end  :5759	 s_start  :60	 s_end  :498	 align_len  :444
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|583922 YP_007006770.1 |gp163 [Sphingomonas phage PAU]	 score  :457.0	 e_val  :5.51465e-47	 q_start  :14090	 q_end  :14872	 s_start  :147	 s_end  :408	 align_len  :263
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|604067 YP_006560346.1 |phage portal protein [Nonlabens phage P12024S]	 score  :423.0	 e_val  :3.41229e-41	 q_start  :18370	 q_end  :19398	 s_start  :15	 s_end  :353	 align_len  :347
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|604067 YP_006560346.1 |phage portal protein [Nonlabens phage P12024S]	 score  :203.0	 e_val  :7.71863e-14	 q_start  :17335	 q_end  :17892	 s_start  :383	 s_end  :558	 align_len  :187
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|604126 YP_006560405.1 |phage portal protein [Nonlabens phage P12024L]	 score  :422.0	 e_val  :4.67178e-41	 q_start  :18370	 q_end  :19398	 s_start  :15	 s_end  :353	 align_len  :347
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|604126 YP_006560405.1 |phage portal protein [Nonlabens phage P12024L]	 score  :203.0	 e_val  :7.20318e-14	 q_start  :17335	 q_end  :17892	 s_start  :383	 s_end  :558	 align_len  :187
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|684042 NP_945097.1 |Mom-like DNA modification protein [Burkholderia phage phi1026b]	 score  :382.0	 e_val  :2.78707e-40	 q_start  :8593	 q_end  :8991	 s_start  :1	 s_end  :133	 align_len  :133
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|553945 YP_008240801.1 |hypothetical protein Phi19:3_gp016 [Cellulophaga phage phi19:3]	 score  :393.0	 e_val  :5.87389e-40	 q_start  :7696	 q_end  :8535	 s_start  :1	 s_end  :277	 align_len  :287
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|426434 YP_009273325.1 |DNA repair exonuclease [Bacillus phage vB_BhaS-171]	 score  :363.0	 e_val  :1.48295e-34	 q_start  :14111	 q_end  :15034	 s_start  :117	 s_end  :409	 align_len  :308
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|604062 YP_006560341.1 |hypothetical protein B617_gp01 [Nonlabens phage P12024S]	 score  :317.0	 e_val  :2.99357e-29	 q_start  :22680	 q_end  :23180	 s_start  :14	 s_end  :180	 align_len  :171
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|604121 YP_006560400.1 |hypothetical protein B618_gp01 [Nonlabens phage P12024L]	 score  :315.0	 e_val  :6.30463e-29	 q_start  :22680	 q_end  :23180	 s_start  :14	 s_end  :180	 align_len  :171
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|658807 YP_001294791.1 |conserved phage protein [Microbacterium phage Min1]	 score  :297.0	 e_val  :1.03646e-28	 q_start  :8563	 q_end  :8985	 s_start  :2	 s_end  :145	 align_len  :144
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|574932 YP_007673463.1 |hypothetical protein CGPG_00082 [Cellulophaga phage phiST]	 score  :323.0	 e_val  :4.1952e-28	 q_start  :23952	 q_end  :24773	 s_start  :144	 s_end  :409	 align_len  :278
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|147422 YP_010109011.1 |replication initiation protein [Flavobacterium phage vB_FspP_elemoE_6-9C]	 score  :285.0	 e_val  :2.19707e-25	 q_start  :9900	 q_end  :10292	 s_start  :1	 s_end  :123	 align_len  :131
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|147334 YP_010108923.1 |replication initiation protein [Flavobacterium phage vB_FspP_elemoF_6-3D]	 score  :285.0	 e_val  :2.19707e-25	 q_start  :9900	 q_end  :10292	 s_start  :1	 s_end  :123	 align_len  :131
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|585067 YP_007236768.1 |replication initiation protein [Burkholderia phage BcepMigl]	 score  :280.0	 e_val  :3.78899e-25	 q_start  :9690	 q_end  :10292	 s_start  :1	 s_end  :195	 align_len  :203
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|268784 YP_009844956.1 |hypothetical protein HWC13_gp164 [Nodularia phage vB_NspS-kac68v161]	 score  :284.0	 e_val  :4.63488e-25	 q_start  :7885	 q_end  :8532	 s_start  :26	 s_end  :270	 align_len  :248
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|254268 YP_009830438.1 |hypothetical protein HWA92_gp134 [Nodularia phage vB_NpeS-2AV2]	 score  :277.0	 e_val  :3.31427e-24	 q_start  :7885	 q_end  :8532	 s_start  :26	 s_end  :270	 align_len  :248
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|614748 YP_004934604.1 |major capsid protein [Synechococcus phage S-CBS1]	 score  :292.0	 e_val  :4.11592e-24	 q_start  :17929	 q_end  :18255	 s_start  :8	 s_end  :116	 align_len  :109
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|329269 YP_009823283.1 |endolysin [Rheinheimera phage Barba21A]	 score  :259.0	 e_val  :4.90591e-24	 q_start  :15686	 q_end  :16003	 s_start  :3	 s_end  :113	 align_len  :111
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|329130 YP_009823144.1 |endolysin [Rheinheimera phage vB_RspM_Barba19A]	 score  :259.0	 e_val  :4.90591e-24	 q_start  :15686	 q_end  :16003	 s_start  :3	 s_end  :113	 align_len  :111
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|328986 YP_009823000.1 |endolysin [Rheinheimera phage vB_RspM_Barba18A]	 score  :259.0	 e_val  :4.90591e-24	 q_start  :15686	 q_end  :16003	 s_start  :3	 s_end  :113	 align_len  :111
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|617460 YP_004421726.1 |major capsid protein [Synechococcus phage S-CBS3]	 score  :278.0	 e_val  :1.75842e-22	 q_start  :17911	 q_end  :18255	 s_start  :8	 s_end  :122	 align_len  :115
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|591165 YP_007006945.1 |hypothetical protein F396_gp36 [Pectobacterium phage ZF40]	 score  :248.0	 e_val  :2.36705e-22	 q_start  :8599	 q_end  :8931	 s_start  :2	 s_end  :114	 align_len  :113
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|283540 YP_009829449.1 |putative DNA-binding protein [Pseudomonas phage PaBG]	 score  :245.0	 e_val  :2.67078e-22	 q_start  :17962	 q_end  :18252	 s_start  :1	 s_end  :95	 align_len  :97
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|673328 YP_239908.1 |DnaD-like helicase loader [Staphylococcus phage 42E]	 score  :243.0	 e_val  :2.24688e-20	 q_start  :9888	 q_end  :10265	 s_start  :18	 s_end  :141	 align_len  :131
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|640923 YP_002332492.1 |DnaD-like helicase loader [Staphylococcus phage vB_SauS-phiIPLA88]	 score  :243.0	 e_val  :2.29003e-20	 q_start  :9888	 q_end  :10265	 s_start  :18	 s_end  :141	 align_len  :131
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|673679 YP_240278.1 |DnaD-like helicase loader [Staphylococcus phage 96]	 score  :243.0	 e_val  :2.31192e-20	 q_start  :9888	 q_end  :10265	 s_start  :18	 s_end  :141	 align_len  :131
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|635798 YP_003169650.1 |DnaD domain protein [Staphylococcus phage P954]	 score  :243.0	 e_val  :2.31192e-20	 q_start  :9888	 q_end  :10265	 s_start  :18	 s_end  :141	 align_len  :131
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|562381 YP_008059832.1 |DnaD domain protein [Staphylococcus phage StauST398-3]	 score  :243.0	 e_val  :2.31192e-20	 q_start  :9888	 q_end  :10265	 s_start  :18	 s_end  :141	 align_len  :131
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|539155 YP_008770204.1 |replication initiation O-like [Lactobacillus phage phiLdb]	 score  :243.0	 e_val  :3.3872e-20	 q_start  :10002	 q_end  :10265	 s_start  :11	 s_end  :98	 align_len  :88
20082D-11-01_S0_L001_megahit_output_virsorter_k141_217324||full_len:28752	gnl|BL_ORD_ID|535101 YP_009010725.1 |phage tail length tape-measure protein [Croceibacter phage P2559Y]	 score  :240.0	 e_val  :6.70665e-18	 q_start  :23778	 q_end  :24764	 s_start  :225	 s_end  :525	 align_len  :329
